queue,size,lut,slice,time
minheap_verilog,70,45437,0,56:46
minheap_verilog,80,51554,0,59:03
minheap_verilog,40,19043,0,17:57
minheap_verilog,20,7300,0,8:00
minheap_verilog,10,2215,0,1:05
minheap_verilog,5,866,0,0:21
minheap_verilog,1,195,0,0:07
midterm_verilog,200,3493,1618,0:48
midterm_verilog,100,1532,707,0:27
midterm_verilog,50,629,306,0:22
midterm_verilog,25,275,130,0:21
midterm_verilog,1,2,3,0:18
midterm_verilog,1000,17455,10010,7:10
midterm_verilog,600,10247,6016,3:52
midterm_verilog,2000,38413,32011,29:04
midterm_verilog,3000,64274,36037,72:01
kumar,31,1411,906,0:0
kumar,63,1996,1048,0:0
kumar,127,2561,1182,0:0
kumar,255,3161,1330,0:0
huang,1024,0,17488,0:0
huang,2048,0,26232,0:0
huang,3072,0,34976,0:0
huang,4096,0,43720,0:0
huang,5120,0,52464,0:0
huang,6144,0,61208,0:0
huang,7168,0,74324,0:0
huang,8192,0,83068,0:0

